LGA_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
LGA51310,9,54,55,56,72,49,26,34,3,355,16,73,48,43,77,88,29,58,89,521,422,1989,1811,1909,2276,2140,967,1480,191,13193
LGA51330,69,285,251,266,610,598,293,406,22,2793,79,299,230,233,733,804,346,461,443,3622,1638,5930,4650,4985,11514,11407,6117,7751,941,54937
LGA51400,4,27,16,21,19,28,18,34,3,179,3,18,5,5,8,21,8,24,39,124,135,347,257,328,341,398,244,590,74,2721
LGA51470,0,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,3,0,0,12,7,23,11,20,36,39,27,39,4,204
LGA51540,3,3,9,5,11,12,7,10,0,60,3,5,8,7,13,7,7,15,24,84,131,167,153,211,327,365,358,645,53,2402
LGA51610,0,3,3,0,0,3,0,0,0,8,0,3,0,7,0,0,0,3,5,16,26,48,29,36,40,44,37,109,18,378
LGA51680,0,13,3,4,3,3,3,7,0,36,3,9,11,7,13,6,6,20,10,79,54,177,143,128,176,206,156,272,17,1344
LGA51750,7,46,25,30,46,47,21,24,0,241,10,47,24,20,28,28,15,25,43,240,195,1351,938,857,993,1002,476,774,97,6679
LGA51820,41,213,146,179,281,341,160,257,20,1641,83,233,162,195,519,616,278,482,334,2900,1389,4638,3662,4145,7745,8831,4743,7809,740,43710
LGA51890,9,19,15,15,11,17,26,15,4,122,4,11,8,10,17,18,11,30,40,152,216,434,339,365,567,646,1146,673,101,4490
LGA51960,4,6,0,3,3,11,0,14,0,43,3,6,3,0,7,3,5,19,17,64,113,117,100,118,163,206,213,937,34,2006
LGA52030,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,3,3,8,3,17,18,19,30,40,36,52,31,124,12,362
LGA52100,0,0,3,0,0,9,0,3,0,19,0,3,3,0,0,7,0,0,6,16,23,46,42,45,46,106,62,143,10,528
LGA52170,8,29,28,31,33,25,4,10,0,156,3,31,8,7,16,23,15,21,22,153,66,543,388,362,339,392,197,342,45,2678
LGA52240,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,7,0,0,3,21,25,50,29,47,33,103,49,151,13,504
LGA52310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,8,8,15,5,13,14,37,17,70,8,186
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,9,7,0,34,3,69
LGA52450,0,0,0,0,0,7,0,5,0,18,0,0,0,0,8,6,0,3,4,32,26,65,56,61,79,93,62,168,6,609
LGA52520,0,0,0,4,3,4,3,7,0,21,0,8,3,4,5,10,4,17,8,47,25,64,53,68,52,150,80,281,15,789
LGA52590,3,6,4,7,10,0,10,3,0,36,4,6,4,4,0,7,3,5,15,46,62,164,148,128,141,195,147,415,26,1433
LGA52660,0,25,18,19,15,15,14,15,0,104,7,14,9,12,11,19,16,28,21,136,148,573,382,453,390,389,401,516,61,3306
LGA52730,3,11,13,3,5,10,3,3,0,50,3,25,7,9,5,12,3,8,9,85,106,382,285,272,183,246,122,259,28,1893
LGA52800,0,16,12,14,30,24,3,22,3,115,3,9,0,6,7,6,4,8,13,52,83,96,74,120,267,199,130,394,40,1400
LGA52870,3,10,10,3,3,12,8,9,0,62,6,11,6,12,8,12,4,12,17,82,85,265,195,234,175,210,128,328,34,1653
LGA52940,0,0,0,0,3,3,0,0,0,9,0,3,0,0,0,0,3,0,0,11,5,27,31,20,15,57,17,99,9,290
LGA53010,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,4,10,10,28,22,22,21,47,34,121,6,313
LGA53080,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,0,4,3,5,26,16,21,14,12,24,41,35,155,8,330
LGA53150,3,8,9,18,15,15,7,6,0,77,3,15,12,11,12,12,5,8,15,88,53,328,233,243,255,294,141,216,23,1792
LGA53220,15,33,34,17,32,36,22,100,5,290,23,25,13,12,42,33,14,102,112,379,1003,520,413,396,788,738,1136,7552,300,12850
LGA53290,9,24,20,30,54,49,38,51,7,271,9,28,10,19,27,39,12,46,52,242,285,575,413,538,675,728,541,1418,114,5287
LGA53360,3,5,3,3,4,12,4,15,3,51,6,7,0,3,5,6,3,7,4,43,53,101,76,104,141,164,101,245,18,1000
LGA53430,21,106,91,98,188,162,84,117,10,875,54,148,97,91,204,240,89,190,189,1308,968,3289,2914,2813,4648,4585,2352,3336,417,25331
LGA53570,0,8,6,9,0,7,3,3,0,44,10,12,5,4,3,14,6,15,19,87,76,242,201,206,204,330,183,439,48,1912
LGA53640,0,3,0,0,0,9,3,3,3,14,3,3,3,8,6,4,0,11,3,34,20,62,55,52,50,122,73,199,10,645
LGA53710,0,0,3,0,0,3,3,0,0,12,0,0,0,0,0,3,0,4,3,12,20,42,45,39,36,62,18,84,9,356
LGA53780,32,190,128,128,290,238,125,263,19,1412,54,147,94,108,258,237,96,165,211,1375,791,3568,2841,2913,4521,4133,2016,3107,452,24345
LGA53800,19,81,62,71,113,155,58,150,8,711,24,71,54,56,91,129,48,149,139,755,832,1685,1369,1826,2706,2694,1628,3596,325,16650
