SA3_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
11901,509,68,82,6935,5619,626,559,85,61,6943,5370,723,542,86,68,6793,4722,526,431,72,61,5811,2984,354,343,65,36,3787,1174,201,170,50,23,1616,333,111,71,30,13,556,119,43,40,28,18,246,50318,4728,3998,734,660,60435
11902,382,66,50,3137,2362,424,405,47,42,3287,2352,370,331,53,44,3155,1908,340,306,61,35,2648,1234,206,237,30,24,1736,507,127,107,30,19,778,120,54,42,16,10,237,66,35,23,7,7,144,21988,2797,2809,516,399,28506
11903,294,56,22,2848,2111,488,333,56,24,3012,2135,442,358,72,30,3037,1926,352,316,46,42,2691,1114,212,235,42,25,1616,481,149,147,42,6,827,155,78,65,18,13,329,60,45,30,29,5,166,21248,2987,2493,526,277,27520
11904,372,63,30,3796,2782,426,361,50,43,3660,2640,402,365,45,39,3494,2294,308,329,46,31,3012,1606,204,249,25,28,2113,717,135,163,37,15,1062,187,52,63,22,6,330,62,40,39,22,9,168,26762,2797,2818,451,358,33180
12001,297,42,25,3922,2682,399,303,34,32,3460,2579,353,273,36,29,3269,2066,261,218,40,25,2621,1273,211,168,27,15,1694,543,119,141,22,8,842,162,64,65,21,7,321,44,34,32,20,12,141,27943,2591,2222,370,286,33410
12002,312,36,20,2409,1528,379,299,45,20,2273,1366,377,306,51,22,2116,1151,287,240,24,14,1720,811,232,200,30,13,1297,349,162,162,20,12,698,124,77,67,16,8,285,47,33,34,22,4,133,16045,2500,2285,316,182,21324
12003,471,80,44,5687,4481,645,510,81,54,5775,4559,622,607,82,51,5920,4009,515,472,69,54,5118,2530,337,338,51,34,3280,1069,201,180,34,26,1510,304,90,100,16,26,540,142,52,64,20,9,290,43985,4131,3846,667,516,53154
12101,454,88,30,9100,6635,866,521,94,43,8163,6032,844,531,89,57,7548,4858,815,472,66,50,6253,3038,516,360,73,42,4026,1434,412,263,58,31,2198,453,181,121,45,13,810,174,95,86,29,11,402,68806,5853,3914,707,519,79807
12102,289,49,21,2735,2012,335,309,53,22,2724,1844,334,254,41,19,2495,1643,317,262,39,22,2289,1096,231,189,36,13,1568,476,137,115,26,11,762,137,79,53,24,7,300,67,29,36,16,12,161,19024,2213,2042,378,220,23876
12103,349,60,16,3058,2503,555,446,88,34,3626,2472,654,399,68,23,3622,2045,528,399,66,31,3064,1420,373,309,62,15,2180,787,328,230,62,8,1421,288,175,141,51,9,655,139,110,98,47,10,413,22566,3759,3060,614,214,30213
12104,474,70,44,9396,6555,927,454,67,44,8053,5121,917,463,80,34,6623,3668,771,456,77,40,5005,2241,585,356,54,26,3264,1087,468,268,87,26,1936,382,213,137,58,16,804,163,116,82,66,18,439,65585,6194,3801,709,488,76772
12201,229,35,13,1427,829,288,243,28,11,1394,834,283,195,29,9,1348,680,229,153,37,10,1104,522,157,120,22,3,819,271,104,79,24,6,488,104,71,41,12,8,230,39,40,27,23,10,144,9933,1844,1540,268,107,13686
12202,370,47,13,2237,1399,495,390,47,7,2342,1401,570,339,59,16,2394,1203,461,310,41,16,2034,833,363,241,64,18,1513,414,230,170,58,13,876,151,128,86,41,7,414,59,65,44,26,12,205,14524,3264,2672,474,176,21101
12203,697,97,48,6154,4348,995,737,86,49,6200,4024,936,636,86,51,5737,3399,715,532,59,40,4755,2347,502,389,61,36,3324,1136,316,226,55,23,1760,401,143,119,43,17,725,159,85,76,51,14,391,41615,5860,4841,687,427,53428
12301,203,31,22,2359,1694,279,176,21,16,2182,1508,242,162,31,14,1959,1256,176,147,22,15,1626,794,137,133,21,13,1101,302,79,49,13,10,458,54,28,24,5,3,116,22,9,3,9,8,53,16650,1900,1432,219,208,20406
12302,306,53,50,5448,4299,376,371,52,48,5148,4406,425,323,48,60,5260,3826,402,297,47,47,4619,2385,225,252,41,31,2934,903,136,95,34,17,1181,221,71,48,19,12,367,63,24,23,18,11,130,41766,2843,2550,467,498,48132
12303,129,28,21,1191,794,156,135,17,13,1117,727,141,139,39,17,1056,691,116,134,29,13,987,417,92,92,27,17,641,125,57,75,26,9,293,37,18,29,13,3,100,14,13,17,15,4,67,7595,997,1039,258,144,10027
12401,306,40,14,1916,1524,191,370,35,15,2136,1464,234,338,50,12,2098,1446,198,357,38,22,2061,992,187,337,42,11,1575,472,107,202,44,19,849,124,51,75,24,9,290,58,25,33,17,7,145,13698,1476,2654,369,167,18361
12402,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,16
12403,384,67,36,5200,4111,497,410,48,33,5101,3909,429,372,54,38,4802,3647,383,340,54,45,4470,2378,287,257,41,24,2978,929,133,155,35,22,1269,208,80,64,26,5,386,72,21,33,15,18,151,41277,3220,3016,480,398,48388
12404,152,27,17,1837,1563,182,168,25,18,1958,1539,159,159,28,19,1908,1402,123,140,14,18,1697,754,134,111,22,12,1034,306,76,58,29,3,473,93,28,22,17,9,157,33,18,16,8,3,77,14379,1150,1197,243,153,17121
12405,122,23,19,2118,1799,156,136,13,17,2120,1656,169,139,13,23,1989,1438,149,107,20,17,1731,912,86,95,14,13,1118,287,64,54,8,8,422,95,17,13,4,3,130,31,13,13,4,3,62,15893,1107,995,147,182,18318
12501,285,58,46,6501,5249,484,303,61,53,6147,4942,489,289,46,44,5809,3880,356,255,44,40,4578,2436,231,151,42,34,2902,852,150,77,22,13,1109,254,44,31,12,14,358,53,32,24,19,4,136,49073,3353,2183,480,474,55559
12502,192,32,9,2208,1773,234,193,25,20,2241,1870,256,224,31,14,2394,1553,167,156,18,17,1916,1052,141,124,22,12,1358,387,71,73,17,7,557,97,32,28,10,8,176,36,28,16,17,7,101,16413,1538,1394,249,150,19749
12503,384,70,59,5848,4857,521,396,52,56,5885,4745,516,376,58,59,5747,4126,415,330,58,56,4979,2730,272,251,32,38,3321,1010,131,125,24,28,1319,276,51,52,18,10,402,69,29,23,19,13,143,43300,3749,3051,548,657,51310
12504,415,75,81,10741,8895,591,393,61,75,10020,8381,566,430,65,79,9533,7235,426,376,49,67,8149,4605,295,259,46,40,5246,1772,224,166,33,29,2234,486,92,87,30,22,714,152,45,28,12,12,249,84754,4244,3258,592,754,93612
12601,132,20,7,1051,797,167,128,15,9,1114,734,172,145,19,5,1080,702,177,130,37,4,1041,473,148,106,21,5,749,229,72,68,13,5,392,69,32,47,8,4,162,34,23,27,11,8,101,7998,1149,1039,182,70,10433
12602,455,74,43,11570,8942,679,481,79,51,10230,7741,707,471,74,56,9041,6102,532,445,72,59,7207,3654,344,293,67,43,4398,1493,230,194,36,36,1995,430,82,79,26,9,621,175,56,75,25,22,357,80640,4336,3481,659,544,89659
12701,222,34,24,1905,1261,240,256,50,40,1847,1192,206,229,37,16,1679,981,133,178,30,14,1334,639,143,131,27,18,954,236,66,60,28,9,393,78,25,34,17,3,155,18,18,17,9,0,66,12138,1608,1658,339,232,15974
